DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,resid,geo,TIME_PERIOD,DEMENTIA DEATHS,OBS_FLAG
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,AT,2011,266,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,AT,2012,541,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,AT,2013,938,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,AT,2014,894,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,AT,2015,1109,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,AT,2016,1479,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,AT,2017,2338,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,AT,2018,2654,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,AT,2019,2653,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,AT,2020,2451,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,BE,2011,3148,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,BE,2012,3814,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,BE,2013,4126,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,BE,2014,3875,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,BE,2015,4496,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,BE,2016,4448,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,BE,2017,4720,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,BE,2018,4743,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,BE,2019,4957,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,BE,2020,4609,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,BG,2011,11,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,BG,2012,27,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,BG,2013,38,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,BG,2014,16,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,BG,2015,23,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,BG,2016,30,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,BG,2017,26,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,BG,2018,32,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,BG,2019,28,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,BG,2020,60,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,CH,2011,3706,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,CH,2012,4075,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,CH,2013,4345,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,CH,2014,4198,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,CH,2015,4725,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,CH,2016,4321,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,CH,2017,4958,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,CH,2018,4842,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,CH,2019,5062,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,CH,2020,5079,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,CY,2011,72,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,CY,2012,77,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,CY,2013,82,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,CY,2014,100,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,CY,2015,142,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,CY,2016,153,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,CY,2017,193,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,CY,2018,250,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,CY,2019,251,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,CY,2020,218,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,CZ,2011,698,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,CZ,2012,752,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,CZ,2013,994,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,CZ,2014,1018,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,CZ,2015,1266,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,CZ,2016,1203,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,CZ,2017,1520,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,CZ,2018,1477,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,CZ,2019,1578,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,CZ,2020,1731,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,DE,2011,20384,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,DE,2012,23886,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,DE,2013,28388,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,DE,2014,28666,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,DE,2015,36437,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,DE,2016,38036,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,DE,2017,44258,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,DE,2018,49825,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,DE,2019,50050,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,DE,2020,51009,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,DK,2011,2150,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,DK,2012,2233,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,DK,2013,2292,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,DK,2014,2359,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,DK,2015,2522,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,DK,2016,2688,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,DK,2017,2870,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,DK,2018,3165,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,DK,2019,2980,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,DK,2020,2788,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,EE,2011,23,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,EE,2012,28,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,EE,2013,35,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,EE,2014,40,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,EE,2015,25,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,EE,2016,39,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,EE,2017,71,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,EE,2018,77,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,EE,2019,115,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,EE,2020,106,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,EL,2011,87,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,EL,2012,92,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,EL,2013,113,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,EL,2014,575,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,EL,2015,980,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,EL,2016,1225,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,EL,2017,1601,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,EL,2018,1692,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,EL,2019,1926,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,EL,2020,2255,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,ES,2011,14477,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,ES,2012,16250,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,ES,2013,16210,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,ES,2014,17768,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,ES,2015,20339,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,ES,2016,20057,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,ES,2017,20909,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,ES,2018,21527,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,ES,2019,22026,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,ES,2020,20755,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,EU27_2020,2011,87072,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,EU27_2020,2012,99592,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,EU27_2020,2013,109690,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,EU27_2020,2014,112783,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,EU27_2020,2015,133436,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,EU27_2020,2016,137849,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,EU27_2020,2017,151503,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,EU27_2020,2018,162101,p
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,EU27_2020,2019,164552,p
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,EU27_2020,2020,162076,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,FI,2011,1757,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,FI,2012,1935,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,FI,2013,1908,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,FI,2014,1891,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,FI,2015,1960,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,FI,2016,1970,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,FI,2017,1953,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,FI,2018,2164,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,FI,2019,2126,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,FI,2020,2244,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,FR,2011,13507,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,FR,2012,15811,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,FR,2013,16405,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,FR,2014,16696,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,FR,2015,19228,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,FR,2016,19678,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,FR,2017,19587,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,FR,2018,20973,p
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,FR,2019,20697,p
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,FR,2020,18509,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,HR,2011,372,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,HR,2012,469,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,F01_F03,TOT_IN,HR,2013,435,
